"Instancia","Runtime","Switches","Average.delay","Wall.clock.time"
1,4.456,13,0.027,7
1,4.836,14,0.029,6
1,4.878,13,0.023,7
1,5.120,15,0.025,6
1,4.789,13,0.016,7
1,4.661,12,1.033,9
1,4.643,14,0.024,9
1,2.638,13,0.012,9
1,5.199,12,0.022,6
1,5.212,13,0.020,10
1,5.027,12,0.057,9
1,5.303,13,1.414,11
1,4.882,12,0.428,10
1,4.929,13,0.417,9
1,4.478,12,0.014,9
2,5.040,15,0.022,7
2,4.444,12,0.634,6
2,9.993,14,1.102,7
2,3.835,14,0.579,6
2,4.846,13,0.180,6
2,4.827,12,0.814,6
2,4.791,12,0.031,7
2,4.751,13,0.893,6
2,4.342,12,0.010,6
2,1.680,12,0.264,1
2,4.546,14,0.740,4
2,5.290,12,1.001,5
2,4.607,12,0.025,6
2,4.549,12,0.231,6
2,5.038,12,0.014,5
4,8.773,37,0.016,25
4,8.798,36,0.227,25
4,8.619,36,0.139,26
4,8.355,36,0.175,27
4,8.559,38,0.369,27
4,8.852,34,0.108,26
4,9.194,37,0.115,25
4,9.119,37,0.860,21
4,2.600,37,0.045,6
4,2.939,37,0.005,6
4,2.416,36,0.005,6
4,2.387,37,0.006,6
4,2.484,36,0.005,7
4,2.439,37,0.007,6
4,2.499,37,0.005,6
